LECROYSDA6000A 1113 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 22-Oct-2014 11:18:33 0                 
Time Ampl
-2.8254e-008 0.00315162
-2.8154e-008 0.0223659
-2.8054e-008 -0.00466876
-2.7954e-008 0.00170148
-2.7854e-008 0.0232463
-2.7754e-008 -0.00523845
-2.7654e-008 0.00253013
-2.7554e-008 0.0223141
-2.7454e-008 -0.00352936
-2.7354e-008 -0.001147
-2.7254e-008 0.0388353
-2.7154e-008 -0.0189112
-2.7054e-008 0.0133026
-2.6954e-008 0.022832
-2.6854e-008 0.00890037
-2.6754e-008 0.00149432
-2.6654e-008 0.0361422
-2.6554e-008 -0.00570457
-2.6454e-008 0.0191549
-2.6354e-008 -0.00461697
-2.6254e-008 0.00309983
-2.6154e-008 0.0191031
-2.6054e-008 0.0220552
-2.5954e-008 0.00672516
-2.5854e-008 0.0155296
-2.5754e-008 0.0355207
-2.5654e-008 0.00941827
-2.5554e-008 0.0137687
-2.5454e-008 0.0367119
-2.5354e-008 0.00947006
-2.5254e-008 0.00315162
-2.5154e-008 0.0217962
-2.5054e-008 -0.00368474
-2.4954e-008 0.000769251
-2.4854e-008 0.0331901
-2.4754e-008 0.0227284
-2.4654e-008 0.01641
-2.4554e-008 0.0367637
-2.4454e-008 -0.00534203
-2.4354e-008 0.0146491
-2.4254e-008 0.0254733
-2.4154e-008 -0.00725828
-2.4054e-008 0.0142348
-2.3954e-008 0.036194
-2.3854e-008 0.00874499
-2.3754e-008 0.0145455
-2.3654e-008 0.0375923
-2.3554e-008 -0.00337399
-2.3454e-008 0.00289266
-2.3354e-008 0.00905574
-2.3254e-008 -0.00611889
-2.3154e-008 0.00206401
-2.3054e-008 0.0243857
-2.2954e-008 -0.0176164
-2.2854e-008 -0.00171669
-2.2754e-008 0.0355725
-2.2654e-008 0.00936648
-2.2554e-008 0.0135097
-2.2454e-008 0.0393532
-2.2354e-008 -0.0175646
-2.2254e-008 -0.000680884
-2.2154e-008 0.0237125
-2.2054e-008 -0.00544561
-2.1954e-008 0.0120596
-2.1854e-008 0.0498149
-2.1754e-008 0.0104023
-2.1654e-008 0.0133026
-2.1554e-008 0.0393014
-2.1454e-008 -0.016477
-2.1354e-008 -0.000784465
-2.1254e-008 0.0240232
-2.1154e-008 -0.00622247
-2.1054e-008 0.0130954
-2.0954e-008 0.0398193
-2.0854e-008 -0.0167877
-2.0754e-008 -0.000525512
-2.0654e-008 0.0235571
-2.0554e-008 -0.00404727
-2.0454e-008 4.41835e-005
-2.0354e-008 0.033708
-2.0254e-008 0.0108684
-2.0154e-008 0.00263371
-2.0054e-008 0.0209676
-1.9954e-008 0.00568935
-1.9854e-008 0.0306006
-1.9754e-008 0.0263538
-1.9654e-008 -0.008812
-1.9554e-008 0.0162546
-1.9454e-008 0.0220034
-1.9354e-008 0.0105577
-1.9254e-008 -0.0093817
-1.9154e-008 0.0178083
-1.9054e-008 0.0124739
-1.8954e-008 -0.0108318
-1.8854e-008 0.0201907
-1.8754e-008 -0.00254534
-1.8654e-008 -0.00238997
-1.8554e-008 0.049038
-1.8454e-008 0.00998797
-1.8354e-008 0.0142866
-1.8254e-008 0.035935
-1.8154e-008 0.00786456
-1.8054e-008 0.0158921
-1.7954e-008 0.034951
-1.7854e-008 0.010972
