LECROYSDA6000A 1113 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 22-Oct-2014 11:18:34 0                 
Time Ampl
-2.82167e-008 0.0330866
-2.81167e-008 0.0343813
-2.80167e-008 0.00724307
-2.79167e-008 0.0135615
-2.78167e-008 0.0442215
-2.77167e-008 0.0501774
-2.76167e-008 0.0432375
-2.75167e-008 0.0485719
-2.74167e-008 0.00905574
-2.73167e-008 0.0145973
-2.72167e-008 0.0310149
-2.71167e-008 0.0505918
-2.70167e-008 0.0332419
-2.69167e-008 0.0337598
-2.68167e-008 0.00682874
-2.67167e-008 0.0181709
-2.66167e-008 0.0179119
-2.65167e-008 0.0469146
-2.64167e-008 0.0345885
-2.63167e-008 0.0340188
-2.62167e-008 0.00713949
-2.61167e-008 0.00605189
-2.60167e-008 0.00413564
-2.59167e-008 0.0328794
-2.58167e-008 0.0326722
-2.57167e-008 0.0466039
-2.56167e-008 0.0217962
-2.55167e-008 0.00776097
-2.54167e-008 -0.00979602
-2.53167e-008 0.0193103
-2.52167e-008 0.0197764
-2.51167e-008 0.0446358
-2.50167e-008 0.0348992
-2.49167e-008 0.0193103
-2.48167e-008 0.0166689
-2.47167e-008 0.0218998
-2.46167e-008 0.0180155
-2.45167e-008 0.0439108
-2.44167e-008 0.0390425
-2.43167e-008 0.00532682
-2.42167e-008 0.0233499
-2.41167e-008 0.0520937
-2.40167e-008 0.0212265
-2.39167e-008 0.0440144
-2.38167e-008 0.010972
-2.37167e-008 0.014442
-2.36167e-008 0.041373
-2.35167e-008 0.0543207
-2.34167e-008 0.0174458
-2.33167e-008 0.0433929
-2.32167e-008 0.0138723
-2.31167e-008 0.00278908
-2.30167e-008 0.0273378
-2.29167e-008 0.0424606
-2.28167e-008 0.00164969
-2.27167e-008 0.0556672
-2.26167e-008 0.0140794
-2.25167e-008 0.0187406
-2.24167e-008 -0.00109521
-2.23167e-008 0.0597069
-2.22167e-008 0.038162
-2.21167e-008 0.0336045
-2.20167e-008 0.00403206
-2.19167e-008 0.0188959
-2.18167e-008 0.0180155
-2.17167e-008 0.0466557
-2.16167e-008 0.0350028
-2.15167e-008 0.0323615
-2.14167e-008 0.0203461
-2.13167e-008 0.00864141
-2.12167e-008 0.0026855
-2.11167e-008 0.0319472
-2.10167e-008 0.0350546
-2.09167e-008 0.0341742
-2.08167e-008 0.0178601
-2.07167e-008 0.0205532
-2.06167e-008 0.00672516
-2.05167e-008 0.017394
-2.04167e-008 0.0323097
-2.03167e-008 0.0360904
-2.02167e-008 0.0191549
-2.01167e-008 0.0177565
-2.00167e-008 0.0182745
-1.99167e-008 0.0328276
-1.98167e-008 0.0334491
-1.97167e-008 0.0345367
-1.96167e-008 0.0181191
-1.95167e-008 0.0308078
-1.94167e-008 0.0314293
-1.93167e-008 0.0490898
-1.92167e-008 0.0194138
-1.91167e-008 0.0419427
-1.90167e-008 0.0385246
-1.89167e-008 0.00936648
-1.88167e-008 0.0104023
-1.87167e-008 0.0510579
-1.86167e-008 0.0100398
-1.85167e-008 0.0385246
-1.84167e-008 0.037178
-1.83167e-008 0.0216408
-1.82167e-008 0.025059
-1.81167e-008 0.0514722
-1.80167e-008 0.0108684
-1.79167e-008 0.0159957
-1.78167e-008 0.006518
-1.77167e-008 0.0211229
-1.76167e-008 0.0167725
-1.75167e-008 0.0379031
-1.74167e-008 -0.00782798
-1.73167e-008 0.0301863
-1.72167e-008 -0.00161311
-1.71167e-008 0.00532682
-1.70167e-008 0.00196043
-1.69167e-008 0.0326722
-1.68167e-008 0.0330348
-1.67167e-008 0.0348474
-1.66167e-008 0.0060001
-1.65167e-008 0.0149599
-1.64167e-008 0.0325686
-1.63167e-008 0.0362976
-1.62167e-008 0.0288397
-1.61167e-008 0.0475361
-1.60167e-008 0.0118524
-1.59167e-008 0.000976413
-1.58167e-008 0.0289433
-1.57167e-008 0.0404926
-1.56167e-008 0.0180673
-1.55167e-008 0.0321025
-1.54167e-008 0.00713949
-1.53167e-008 0.0292023
-1.52167e-008 0.0331383
-1.51167e-008 0.0380067
-1.50167e-008 0.00527503
-1.49167e-008 0.0252144
-1.48167e-008 0.0515758
-1.47167e-008 0.0117488
-1.46167e-008 0.0115417
-1.45167e-008 0.0330348
-1.44167e-008 0.0274932
-1.43167e-008 0.0015979
-1.42167e-008 0.0330348
-1.41167e-008 -0.00202744
-1.40167e-008 0.0142866
-1.39167e-008 0.0205014
-1.38167e-008 0.0218998
-1.37167e-008 0.0179637
-1.36167e-008 0.0189995
-1.35167e-008 0.0191031
-1.34167e-008 0.0289951
-1.33167e-008 0.0475361
-1.32167e-008 0.0322061
-1.31167e-008 0.0467593
-1.30167e-008 0.00972902
-1.29167e-008 0.0148045
-1.28167e-008 0.0316882
-1.27167e-008 0.0386281
-1.26167e-008 0.0168243
-1.25167e-008 0.0429268
-1.24167e-008 0.0336562
-1.23167e-008 0.0501256
-1.22167e-008 0.00278908
-1.21167e-008 0.0574281
-1.20167e-008 0.0153742
-1.19167e-008 0.0127329
-1.18167e-008 0.0436518
-1.17167e-008 0.0292541
-1.16167e-008 0.0105577
-1.15167e-008 0.0601212
-1.14167e-008 0.01294
-1.13167e-008 0.0369191
-1.12167e-008 0.0490898
-1.11167e-008 0.0264574
-1.10167e-008 0.011956
-1.09167e-008 0.0430303
-1.08167e-008 0.0514722
-1.07167e-008 0.0338634
-1.06167e-008 0.0300309
-1.05167e-008 0.0246965
-1.04167e-008 0.00273729
-1.03167e-008 0.0441179
-1.02167e-008 0.0269753
-1.01167e-008 0.0164618
-1.00167e-008 0.029772
-9.9167e-009 0.0249554
-9.8167e-009 0.015167
-9.7167e-009 0.0437554
