LECROYSDA6000A 1113 Waveform
Segments 1 SegmentSize 502
Segment TrigTime TimeSinceSegment1
#1 22-Oct-2014 11:18:35 0                 
Time Ampl
-2.82585e-008 0.029513
-2.81585e-008 0.036194
-2.80585e-008 0.00641442
-2.79585e-008 0.0271824
-2.78585e-008 0.038421
-2.77585e-008 0.0108166
-2.76585e-008 0.0032552
-2.75585e-008 0.00527503
-2.74585e-008 0.0192585
-2.73585e-008 0.0319989
-2.72585e-008 0.0324651
-2.71585e-008 0.0425124
-2.70585e-008 0.0486755
-2.69585e-008 0.0220034
-2.68585e-008 0.0167725
-2.67585e-008 0.0191031
-2.66585e-008 0.0316364
-2.65585e-008 0.0469664
-2.64585e-008 0.0354689
-2.63585e-008 0.0210711
-2.62585e-008 0.00361773
-2.61585e-008 0.0289951
-2.60585e-008 0.0482612
-2.59585e-008 0.0469146
-2.58585e-008 0.0451537
-2.57585e-008 0.0322061
-2.56585e-008 0.0338634
-2.55585e-008 0.0192585
-2.54585e-008 0.0342259
-2.53585e-008 0.0187406
-2.52585e-008 0.0463967
-2.51585e-008 0.0216926
-2.50585e-008 0.0311703
-2.49585e-008 0.0206568
-2.48585e-008 0.0208122
-2.47585e-008 0.0179637
-2.46585e-008 0.0330866
-2.45585e-008 0.0241786
-2.44585e-008 0.00346236
-2.43585e-008 0.027545
-2.42585e-008 0.0383174
-2.41585e-008 0.0184298
-2.40585e-008 0.0415284
-2.39585e-008 0.0371262
-2.38585e-008 0.0218998
-2.37585e-008 0.0120078
-2.36585e-008 0.0563923
-2.35585e-008 0.0624
-2.34585e-008 0.0606909
-2.33585e-008 0.0346403
-2.32585e-008 0.0160475
-2.31585e-008 0.0441697
-2.30585e-008 0.039146
-2.29585e-008 0.0302381
-2.28585e-008 0.0473807
-2.27585e-008 0.0119042
-2.26585e-008 0.012215
-2.25585e-008 0.0449984
-2.24585e-008 0.0399747
-2.23585e-008 0.0281147
-2.22585e-008 0.0472254
-2.21585e-008 0.0117488
-2.20585e-008 0.0122668
-2.19585e-008 0.0432893
-2.18585e-008 0.0511097
-2.17585e-008 0.0438072
-2.16585e-008 0.0471218
-2.15585e-008 0.0203461
-2.14585e-008 0.0322579
-2.13585e-008 0.0168761
-2.12585e-008 0.0609499
-2.11585e-008 0.0245411
-2.10585e-008 0.0288397
-2.09585e-008 0.030756
-2.08585e-008 0.0386281
-2.07585e-008 0.00713949
-2.06585e-008 0.0171869
-2.05585e-008 0.018378
-2.04585e-008 0.0455681
-2.03585e-008 0.0379549
-2.02585e-008 0.006518
-2.01585e-008 0.0125257
-2.00585e-008 0.0370744
-1.99585e-008 0.0114381
-1.98585e-008 0.0124739
-1.97585e-008 0.0367119
-1.96585e-008 -0.00404727
-1.95585e-008 0.0244893
-1.94585e-008 0.033708
-1.93585e-008 0.0479504
-1.92585e-008 0.0335009
-1.91585e-008 0.0208122
-1.90585e-008 0.0060001
-1.89585e-008 0.0149081
-1.88585e-008 0.0463967
-1.87585e-008 0.0388353
-1.86585e-008 0.0163064
-1.85585e-008 0.0319989
-1.84585e-008 0.0098326
-1.83585e-008 0.0180673
-1.82585e-008 0.0166689
-1.81585e-008 0.0469664
-1.80585e-008 0.033967
-1.79585e-008 0.0347438
-1.78585e-008 0.00408385
-1.77585e-008 0.0304452
-1.76585e-008 0.0241786
-1.75585e-008 0.0185852
-1.74585e-008 0.0312221
-1.73585e-008 0.0227802
-1.72585e-008 0.0171351
-1.71585e-008 0.029772
-1.70585e-008 0.037178
-1.69585e-008 0.0177565
-1.68585e-008 0.0434447
-1.67585e-008 0.0264056
-1.66585e-008 0.00506787
-1.65585e-008 0.0142348
-1.64585e-008 0.0348474
-1.63585e-008 0.0329312
-1.62585e-008 0.0458788
-1.61585e-008 0.0223659
-1.60585e-008 0.0180155
-1.59585e-008 0.0162546
-1.58585e-008 0.0449984
-1.57585e-008 0.049038
-1.56585e-008 0.0353653
-1.55585e-008 0.0162546
-1.54585e-008 0.0313775
-1.53585e-008 0.0322061
-1.52585e-008 0.0511097
-1.51585e-008 0.00615547
-1.50585e-008 0.0396122
-1.49585e-008 0.0396122
-1.48585e-008 0.0105059
-1.47585e-008 0.0076056
-1.46585e-008 0.0640573
-1.45585e-008 0.0137687
-1.44585e-008 0.0261984
-1.43585e-008 0.01988
-1.42585e-008 0.0251108
-1.41585e-008 0.000510298
-1.40585e-008 0.0469146
-1.39585e-008 0.0100398
-1.38585e-008 0.038162
-1.37585e-008 0.0498149
-1.36585e-008 0.0158403
-1.35585e-008 -0.0170985
-1.34585e-008 0.0412177
-1.33585e-008 0.0423571
-1.32585e-008 0.0288915
-1.31585e-008 0.0458788
-1.30585e-008 0.00770918
-1.29585e-008 0.041373
-1.28585e-008 0.0253698
-1.27585e-008 0.0198282
-1.26585e-008 0.0184298
-1.25585e-008 0.0183262
-1.24585e-008 0.0357797
-1.23585e-008 0.00641442
-1.22585e-008 0.028529
-1.21585e-008 0.032724
-1.20585e-008 0.0466039
-1.19585e-008 0.0373334
-1.18585e-008 0.00278908
-1.17585e-008 0.0412177
-1.16585e-008 0.0355725
-1.15585e-008 0.0496595
-1.14585e-008 0.0145973
-1.13585e-008 0.0596033
-1.12585e-008 0.0149599
-1.11585e-008 0.00232297
-1.10585e-008 0.0169279
-1.09585e-008 0.0239714
-1.08585e-008 0.0218998
-1.07585e-008 0.00460175
-1.06585e-008 0.0179637
-1.05585e-008 0.0192585
-1.04585e-008 0.0311703
-1.03585e-008 0.0422017
-1.02585e-008 0.0624
-1.01585e-008 0.0238678
-1.00585e-008 0.0142348
-9.95854e-009 0.0217962
-9.85854e-009 0.00791635
-9.75854e-009 0.0282182
-9.65854e-009 0.046811
-9.55854e-009 0.0395604
-9.45854e-009 0.00309983
-9.35854e-009 0.0268717
-9.25854e-009 0.0379549
-9.15854e-009 0.0230392
-9.05854e-009 0.0151152
-8.95854e-009 0.0326722
-8.85854e-009 0.0226249
-8.75854e-009 0.0254216
-8.65854e-009 0.0617785
-8.55854e-009 0.0240232
-8.45854e-009 0.0316364
-8.35854e-009 0.00346236
-8.25854e-009 0.0470182
-8.15854e-009 0.0125775
-8.05854e-009 0.0128364
-7.95854e-009 0.0438072
-7.85854e-009 0.0389907
-7.75854e-009 0.0227802
-7.65854e-009 -0.00995139
-7.55854e-009 0.0164618
-7.45854e-009 0.0235053
-7.35854e-009 0.0197764
-7.25854e-009 0.0285808
-7.15854e-009 0.0362976
-7.05854e-009 0.0081753
-6.95854e-009 0.0134061
-6.85854e-009 0.0334491
-6.75854e-009 0.0350028
-6.65854e-009 0.0328276
-6.55854e-009 0.0210194
-6.45854e-009 0.00594831
-6.35854e-009 0.0157885
-6.25854e-009 0.0341224
-6.15854e-009 0.0326722
-6.05854e-009 0.0461896
-5.95854e-009 0.0222105
-5.85854e-009 0.017653
-5.75854e-009 0.0172386
-5.65854e-009 0.0351064
-5.55854e-009 0.0212265
-5.45854e-009 0.0290469
-5.35854e-009 0.0366083
-5.25854e-009 0.00693233
-5.15854e-009 0.0268717
-5.05854e-009 0.0358832
-4.95854e-009 0.0319989
-4.85854e-009 0.0473807
-4.75854e-009 0.00978081
-4.65854e-009 0.0152706
-4.55854e-009 0.01988
-4.45854e-009 0.0230392
-4.35854e-009 0.017394
-4.25854e-009 0.0314293
-4.15854e-009 0.0332419
-4.05854e-009 0.0342777
-3.95854e-009 0.0180673
-3.85854e-009 0.0318954
-3.75854e-009 0.0226767
-3.65854e-009 0.0187406
-3.55854e-009 0.0210711
-3.45854e-009 0.00579293
-3.35854e-009 0.028529
-3.25854e-009 0.0368673
-3.15854e-009 0.01988
-3.05854e-009 0.0296684
-2.95854e-009 0.024075
-2.85854e-009 0.00506787
-2.75854e-009 0.027545
-2.65854e-009 0.0377995
-2.55854e-009 0.0196728
-2.45854e-009 0.0298237
-2.35854e-009 0.0219516
-2.25854e-009 0.01988
-2.15854e-009 0.0185852
-2.05854e-009 0.0215373
-1.95854e-009 0.0163582
-1.85854e-009 0.0454127
-1.75854e-009 0.0257841
-1.65854e-009 0.0048607
-1.55854e-009 0.0119042
-1.45854e-009 0.0500738
-1.35854e-009 0.0223141
-1.25854e-009 0.0401301
-1.15854e-009 0.0375923
-1.05854e-009 0.00884858
-9.58537e-010 0.0124221
-8.58537e-010 0.0364011
-7.58537e-010 0.0197246
-6.58537e-010 0.0468628
-5.58537e-010 -0.000680884
-4.58537e-010 -0.00787977
-3.58537e-010 -0.0215525
-2.58537e-010 -0.00275251
-1.58537e-010 -0.0252814
-5.8537e-011 -0.064694
4.1463e-011 -0.118504
1.41463e-010 -0.166514
2.41463e-010 -0.232858
3.41463e-010 -0.279987
4.41463e-010 -0.374401
5.41463e-010 -0.420754
6.41463e-010 -0.564266
7.41463e-010 -0.629107
8.41463e-010 -0.69773
9.41463e-010 -0.789813
1.04146e-009 -0.854189
1.14146e-009 -0.905358
1.24146e-009 -0.937158
1.34146e-009 -0.951193
1.44146e-009 -0.982681
1.54146e-009 -0.964606
1.64146e-009 -0.945133
1.74146e-009 -0.950986
1.84146e-009 -0.915872
1.94146e-009 -0.905721
2.04146e-009 -0.826585
2.14146e-009 -0.81084
2.24146e-009 -0.749624
2.34146e-009 -0.723936
2.44146e-009 -0.648632
2.54146e-009 -0.585707
2.64146e-009 -0.573691
2.74146e-009 -0.527235
2.84146e-009 -0.493416
2.94146e-009 -0.462445
3.04146e-009 -0.463222
3.14146e-009 -0.450585
3.24146e-009 -0.44204
3.34146e-009 -0.471664
3.44146e-009 -0.448566
3.54146e-009 -0.451051
3.64146e-009 -0.471768
3.74146e-009 -0.438829
3.84146e-009 -0.415937
3.94146e-009 -0.404802
4.04146e-009 -0.399675
4.14146e-009 -0.356482
4.24146e-009 -0.345036
4.34146e-009 -0.290812
4.44146e-009 -0.293815
4.54146e-009 -0.228041
4.64146e-009 -0.226125
4.74146e-009 -0.173143
4.84146e-009 -0.174645
4.94146e-009 -0.119229
5.04146e-009 -0.129225
5.14146e-009 -0.102864
5.24146e-009 -0.125548
5.34146e-009 -0.127723
5.44146e-009 -0.128189
5.54146e-009 -0.120835
5.64146e-009 -0.144244
5.74146e-009 -0.0881551
5.84146e-009 -0.11809
5.94146e-009 -0.126377
6.04146e-009 -0.142432
6.14146e-009 -0.124875
6.24146e-009 -0.12415
6.34146e-009 -0.126739
6.44146e-009 -0.115501
6.54146e-009 -0.11229
6.64146e-009 -0.111875
6.74146e-009 -0.126998
6.84146e-009 -0.108975
6.94146e-009 -0.0585309
7.04146e-009 -0.0829761
7.14146e-009 -0.0770719
7.24146e-009 -0.0913661
7.34146e-009 -0.0583238
7.44146e-009 -0.0857727
7.54146e-009 -0.0637618
7.64146e-009 -0.0613794
7.74146e-009 -0.0453761
7.84146e-009 -0.0602918
7.94146e-009 -0.059256
8.04146e-009 -0.07557
8.14146e-009 -0.046878
8.24146e-009 -0.0664549
8.34146e-009 -0.085721
8.44146e-009 -0.0905893
8.54146e-009 -0.0709089
8.64146e-009 -0.0767094
8.74146e-009 -0.0329464
8.84146e-009 -0.0695623
8.94146e-009 -0.055061
9.04146e-009 -0.0334643
9.14146e-009 -0.046153
9.24146e-009 -0.0157001
9.34146e-009 -0.00207923
9.44146e-009 -0.03305
9.54146e-009 -0.0230026
9.64146e-009 -0.0454797
9.74146e-009 -0.0300979
9.84146e-009 -0.0618973
9.94146e-009 -0.0204649
1.00415e-008 -0.0449618
1.01415e-008 -0.0197916
1.02415e-008 -0.0546466
1.03415e-008 -0.0731876
1.04415e-008 -0.0667138
1.05415e-008 -0.028596
1.06415e-008 -0.0562003
1.07415e-008 -0.0488979
1.08415e-008 -0.0718929
1.09415e-008 -0.0637618
1.10415e-008 -0.038229
1.11415e-008 -0.0143536
1.12415e-008 -0.047396
1.13415e-008 -0.0275602
1.14415e-008 -0.0194809
1.15415e-008 -0.0194809
1.16415e-008 -0.0139911
1.17415e-008 0.0172386
1.18415e-008 0.0218998
1.19415e-008 0.00770918
1.20415e-008 -0.0101586
1.21415e-008 0.00315162
1.22415e-008 0.018378
1.23415e-008 0.0343813
1.24415e-008 0.0222105
1.25415e-008 0.00517145
1.26415e-008 0.00625905
1.27415e-008 -0.00529024
1.28415e-008 0.00511966
